,renewables_electricity,renewables_consumption
760,23.379,64.626
761,21.549,59.148999999999994
762,19.831,54.1
763,19.065,51.637
764,25.631999999999998,69.107
765,23.469,62.44300000000001
766,22.467,59.722
767,24.324,64.435
768,27.781,74.115
769,21.701,58.489
770,24.195,64.46
771,24.177,64.587
772,28.559,75.439
773,25.63,67.757
774,26.271,71.759
775,30.526999999999997,82.01100000000002
776,30.412,78.083
777,31.476999999999997,81.197
778,32.14,81.567
779,31.18,79.72800000000002
780,69.403,196.472
781,77.73899999999998,218.27599999999998
782,64.207,179.96599999999995
783,63.056999999999995,175.38299999999995
784,63.94,177.00900000000001
785,56.325,158.155
786,62.34,174.69299999999996
787,65.908,191.312
788,73.82600000000002,221.238
789,69.658,210.90200000000002
790,78.196,231.485
791,66.02600000000001,194.14700000000002
792,85.208,243.56900000000002
793,99.28299999999999,278.372
794,93.961,266.37
795,91.83200000000001,259.194
796,99.01299999999999,277.751
797,92.617,260.218
798,113.397,308.631
799,112.397,315.467
800,0.802,
801,0.8759999999999999,
802,0.9209999999999999,
803,0.898,
804,0.8909999999999999,
805,0.8109999999999999,
806,0.943,
807,0.8,
808,0.893,
809,0.9440000000000001,
810,0.907,
811,0.8420000000000001,
812,0.912,
813,0.9390000000000001,
814,0.7979999999999999,
815,0.9209999999999999,
816,0.956,
817,0.9329999999999999,
818,0.905,
819,0.9,
820,5.801,
821,5.487,
822,6.699,
823,6.461,
824,5.989,
825,6.1739999999999995,
826,5.2620000000000005,
827,6.75,
828,7.09,
829,7.337999999999999,
830,9.273,
831,7.811,
832,7.151,
833,8.187999999999999,
834,8.252,
835,8.369,
836,9.245,
837,9.206,
838,9.934,
839,8.927999999999997,
840,37.84,111.37700000000001
841,39.0,111.337
842,46.1,130.843
843,46.1,132.3
844,57.5,164.12900000000005
845,63.5,188.168
846,72.5,223.5
847,89.4,270.939
848,94.2,278.119
849,95.93799999999999,281.551
850,105.2,306.26599999999996
851,124.1,354.795
852,143.1,404.82099999999997
853,152.3,421.832
854,162.6,446.952
855,188.8,508.851
856,189.7,508.319
857,216.5,572.716
858,224.9,591.822
859,242.4,638.183
860,6.558,
861,6.557,
862,5.0,
863,3.86,
