,fossil_fuel_consumption,co2
581,219.657,55.879
582,216.426,55.538
583,231.081,60.626000000000005
584,213.308,55.076
585,204.203,51.506
586,229.538,59.429
587,213.377,54.656000000000006
588,204.944,51.22
589,191.257,48.816
590,195.923,49.17100000000001
591,177.454,44.215
592,158.7,39.84
593,164.94299999999996,41.746
594,152.879,37.543
595,143.627,35.204
596,146.885,37.011
597,139.555,34.743
598,139.99,34.672
599,132.452,30.897
600,,18.992
601,,19.145
602,,20.949
603,,21.345
604,,17.333
605,,17.941
606,,19.112
607,,19.993
608,,20.332
609,,19.781
610,,20.553
611,,21.318
612,,21.255
613,,21.267
614,,21.801
615,,23.495
616,,24.645
617,,24.017
618,,25.698
619,,27.52
620,81.60600000000002,20.562
621,84.69,22.94
622,82.125,24.753
623,84.902,26.747
624,92.667,28.786
625,100.664,29.97
626,106.872,28.895
627,107.971,33.686
628,110.588,29.573
629,113.272,32.503
630,130.315,34.826
631,132.88,37.398
632,139.239,37.154
633,148.1,39.362
634,155.736,43.207
635,150.761,40.759
636,142.765,39.504
637,139.217,39.276
638,148.74200000000005,37.919
639,143.64700000000005,36.758
640,525.83,140.35
641,555.354,124.294
642,565.768,125.782
643,605.183,146.463
644,635.097,149.143
645,668.9680000000002,165.044
646,703.455,176.019
647,743.2280000000002,185.907
648,791.668,194.764
649,828.1289999999998,203.17
650,874.337,200.841
651,887.834,213.027
652,934.931,208.718
653,928.149,206.949
654,926.082,221.668
655,947.292,219.167
656,998.237,234.123
657,1028.259,250.605
658,1046.163,227.721
659,1030.296,225.882
660,,5.671
661,,5.857
662,,6.07
663,,6.435
664,,6.254
665,,6.297999999999999
666,,6.718
667,,6.846
668,,6.405
669,,6.312
670,,6.319
671,,6.499
672,,6.472
673,,6.093999999999999
674,,6.151
675,,6.675
676,,6.646
677,,6.016
678,,6.371
679,,6.853
680,,0.616
681,,2.964
682,,7.782
683,,7.962000000000001
684,,9.962
685,,8.039
686,,7.108
687,,5.584
688,,6.119
689,,5.408
690,,6.803999999999999
691,,9.464
692,,9.175
693,,11.578
694,,11.179
695,,10.834
696,,11.388
697,,12.285
698,,11.212
699,,10.27
700,,0.604
701,,0.626
702,,0.601
703,,0.71
704,,0.769
705,,0.769
706,,0.5489999999999999
707,,0.563
708,,0.409
709,,0.497
710,,0.497
711,,0.556
712,,0.605
713,,0.621
714,,0.631
715,,0.634
716,,0.645
717,,0.7040000000000001
718,,0.805
719,,0.835
720,53.843,15.485
721,55.977,15.866
722,55.594,15.349
723,60.392,17.235
724,63.074,17.368
725,61.98,17.156
726,60.945,16.502
727,69.08,20.022
728,65.808,17.875
729,57.54,14.489
730,68.475,18.995
731,70.33,19.091
732,70.429,17.846
733,73.71300000000002,19.738
734,71.405,18.885
735,66.145,15.859000000000002
736,66.62100000000001,17.567
737,71.71600000000002,18.788
738,77.48899999999998,17.945
739,61.261,12.38
740,,3.463
741,,4.265
742,,4.432
743,,4.87
744,,5.159
745,,4.956
746,,5.318
747,,5.84
748,,6.417999999999999
749,,6.452999999999999
750,,6.337000000000001
751,,7.402
752,,8.109
753,,9.781
754,,12.017
755,,12.694
756,,14.347
757,,15.238
758,,16.149
759,,16.371
760,228.481,57.038
761,241.514,62.536
762,251.935,65.06
763,280.233,72.658
764,259.563,68.961
765,229.474,57.047
766,258.718,68.389
767,252.02,66.765
768,230.581,58.617
769,218.712,55.937
770,244.803,64.10300000000001
771,218.479,56.667
772,197.574,51.229
773,206.101,51.728
774,190.221,47.645
775,178.491,44.126000000000005
776,190.853,47.229
777,179.24200000000005,44.652
778,182.693,45.849
779,168.415,42.54600000000001
780,1719.708,405.901
781,1725.441,410.533
782,1697.535,406.01
783,1730.17,411.946
784,1742.167,413.149
785,1742.59,415.518
786,1711.2320000000002,405.761
787,1675.237,395.42800000000005
788,1661.717,387.992
789,1587.678,368.631
790,1609.976,376.576
791,1503.615,353.735
792,1500.94,355.932
793,1501.535,357.537
794,1364.7579999999996,325.886
795,1390.726,329.91
796,1419.87,333.579
797,1438.369,336.996
798,1404.82,322.372
799,1384.094,315.931
800,,4.669
801,,4.772
802,,4.544
803,,4.614
804,,4.658
805,,4.859
806,,4.143
807,,4.09
808,,4.163
809,,4.2330000000000005
810,,4.783
811,,4.93
812,,5.034
813,,5.269
814,,5.317
815,,5.269
816,,5.441
817,,4.598
818,,4.759
819,,4.488
820,,4.5
821,,3.732
822,,3.352
823,,3.735
824,,4.276
825,,5.018
826,,6.097
827,,6.365
828,,5.309
829,,6.136
830,,6.207999999999999
831,,7.805
832,,8.252
833,,8.009
834,,8.934
835,,9.747
836,,10.066
837,,10.18
838,,10.105
839,,10.48
840,3391.7790000000005,899.852
841,3460.384,916.649
842,3408.059,899.971
843,3405.059,901.152
844,3366.813,887.0889999999999
845,3308.258,866.697
846,3360.62,878.32
847,3214.11,851.6239999999999
848,3225.886,854.927
849,3018.434,790.295
850,3134.531,832.949
851,3032.672,809.217
852,3052.566,813.985
853,3147.407,831.454
854,2963.166,792.5880000000001
855,2981.137,795.61
856,3062.1040000000007,800.687
857,3065.36,785.883
858,2952.43,754.112
859,2825.9,711.428
860,,6.101
861,,6.734
862,,7.233
863,,7.438
864,,7.153
865,,6.803
866,,9.159
867,,9.619
868,,8.925
869,,7.497999999999999
870,,9.71
871,,11.226
872,,14.315
873,,14.18
874,,14.755
875,,16.114
876,,16.547
877,,13.74
878,,16.683
879,,16.918
880,365.205,102.999
881,372.273,105.386
882,372.126,105.021
883,385.401,109.09
884,386.082,109.547
885,387.129,113.931
886,396.893,112.472
887,412.857,114.592
888,394.9380000000001,111.125
889,375.129,104.355
890,349.4,97.361
891,346.3119999999999,94.55
892,321.107,91.431
893,291.783,81.736
894,278.031,78.66199999999999
895,273.436,74.961
896,268.365,71.373
897,287.778,74.855
898,280.472,71.808
899,277.692,65.736
900,,9.765
901,,10.233
902,,10.722
903,,10.448
904,,11.18
905,,12.109000000000002
906,,12.177
907,,12.145
908,,10.893
909,,11.442
910,,11.098
911,,11.237
912,,11.558
913,,12.784
914,,13.785
915,,15.822
916,,16.913
917,,17.292
918,,18.646
919,,21.934
920,,1.7480000000000002
921,,1.744
922,,1.715
923,,1.858
924,,1.927
925,,1.619
926,,1.51
927,,1.781
928,,1.707
929,,1.909
930,,1.887
931,,1.96
932,,1.96
933,,1.905
934,,1.972
935,,2.003
936,,2.345
937,,2.319
938,,2.481
939,,2.487
940,,1.634
941,,1.471
942,,1.785
943,,1.7
944,,1.652
945,,1.724
946,,1.7519999999999998
947,,1.7719999999999998
948,,1.761
949,,1.888
950,,2.137
951,,2.273
952,,2.264
953,,2.7060000000000004
954,,2.705
955,,2.661
956,,2.983
957,,3.104
958,,3.3680000000000003
959,,3.289
960,,4.928999999999999
961,,5.602
962,,5.867999999999999
963,,6.617000000000001
964,,7.194
965,,6.831
966,,7.677
967,,8.206
968,,8.437999999999999
969,,7.939
970,,7.89
971,,8.736
972,,9.094
973,,9.24
974,,9.309
975,,9.802
976,,9.293
977,,8.857000000000001
978,,10.05
979,,10.789
980,239.706,58.365
981,248.105,59.968
982,244.757,59.005
983,254.657,61.756
984,252.826,60.132
985,264.978,60.278
986,262.593,59.642
987,254.107,58.554
988,246.735,57.248000000000005
989,219.582,51.471
990,224.2,52.069
991,224.259,50.191
992,204.831,46.758
993,193.445,43.59
994,192.103,43.678
995,204.052,46.615
996,207.829,47.072
997,220.42,49.452
998,222.49,49.408
999,222.441,49.08
1000,10.698,2.932
1001,10.201,2.863
1002,10.559,2.991
1003,10.638,2.985
1004,11.129,3.109
1005,11.255999999999998,2.9760000000000004
1006,11.453,3.153
