,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity,nuclear_electricity
1750,5.722,0.013000000000000001,0.01,31.493000000000002,1.253,2.56
1751,-0.819,0.027000000000000003,0.018000000000000002,28.232,1.401,3.843
1753,-10.395,0.145,0.4,31.554000000000002,1.726,4.397
1754,-3.9210000000000003,0.23800000000000002,0.8,32.149,1.653,4.578
1755,0.309,0.368,0.7859999999999999,34.287,2.028,4.333
1756,0.355,0.8540000000000001,1.409,31.861,2.741,5.439
1757,0.10399999999999998,0.889,2.101,27.646,3.3169999999999997,8.109
1758,-3.5039999999999996,1.02,3.157,37.006,3.0239999999999996,9.29
1759,7.167000000000002,1.032,3.609,43.146,2.659,9.783
1911,8.628000000000004,0.001,1.3869999999999998,14.728,0.19699999999999998,11.747
1912,-6.276999999999999,0.008,2.64,12.065999999999999,0.212,11.466
1913,-18.880000000000003,0.42,4.52,14.956,0.251,11.618
1914,-1.407,1.6159999999999999,6.2010000000000005,18.805,0.504,11.675999999999998
1915,2.717,1.982,7.063,16.632,0.523,11.64
1916,-19.521,1.82,6.59,18.028,0.531,11.286
1917,10.342,1.8559999999999999,7.407,14.494000000000002,0.525,11.509
1918,-5.449,1.771,6.322,17.664,0.4370000000000001,11.377
1919,-6.9510000000000005,1.796,6.768,15.655,0.518,11.279000000000002
2013,0.0,0.215,0.004,4.629,0.26,5.3
2014,0.0,0.257,0.004,6.0920000000000005,0.255,6.37
2015,0.0,0.27399999999999997,0.006,3.807,0.264,5.648
2016,0.0,0.267,0.006,4.503,0.27899999999999997,5.715
2017,0.0,0.284,0.006,3.8680000000000003,0.285,6.285
2018,0.0,0.255,0.006,4.704,0.265,5.776
2019,0.0,0.255,0.006,4.62,0.27699999999999997,5.82
2022,-22.255,0.021,0.032,2.3569999999999998,0.259,11.99
2023,121.32700000000001,0.021,0.032,0.777,0.259,12.663
2024,26.771,0.021,0.032,0.941,0.262,14.28
2025,14.995,0.021,0.032,1.319,0.265,12.238
2026,-1.4980000000000002,0.021,0.032,2.8689999999999998,0.268,10.074
2027,1.252,0.021,0.032,0.8590000000000001,0.271,12.600999999999999
2028,30.433000000000003,0.021,0.032,1.1909999999999998,0.27699999999999997,12.748
2029,-14.387,0.021,0.032,1.386,0.281,11.574000000000002
2030,50.733999999999995,0.021,0.03,2.093,0.332,12.9
2031,-10.582,0.021,0.04,2.036,0.34299999999999997,12.939
2032,39.211999999999996,0.03,0.04,1.193,0.35100000000000003,12.398
2033,-15.155999999999999,0.05,0.01,1.107,0.36,13.615
2034,31.717,1.008,1.1,0.904,0.3670000000000001,14.763
2035,-64.34100000000001,2.136,2.5,0.802,0.3720000000000001,10.965
2036,13.667,3.0069999999999997,3.7,0.674,0.374,15.209000000000001
2037,-11.374,3.9360000000000004,4.9239999999999995,0.802,0.41700000000000004,15.087
2038,6.136,4.2410000000000005,6.4670000000000005,1.093,0.44299999999999995,10.564
2039,6.9060000000000015,4.809,6.624,1.0759999999999998,0.44299999999999995,13.603
2060,-2.8489999999999998,0.013999999999999999,4.727,28.256,1.493,62.206
2061,-5.559,0.017,6.7589999999999995,40.88800000000001,1.631,63.708
2062,-2.082,0.018000000000000002,9.342,21.224,2.5860000000000003,63.01600000000001
2063,-6.28,0.02,12.075,40.483000000000004,3.1839999999999997,61.875
2064,-2.582,0.024,15.7,31.084,3.33,63.606
2065,-3.443,0.048,21.176,18.393,2.653,57.538999999999994
2066,-4.454,0.125,23.296999999999997,25.959,2.7739999999999996,60.12600000000001
2067,-4.396,0.515,27.568,27.309,2.898,55.103
2068,-17.34,2.5780000000000003,32.946,23.364,3.2539999999999996,58.973
2069,-6.557,6.064,38.117,26.410999999999998,3.488,52.761
2070,-5.983,7.186,44.271,42.303999999999995,4.015,61.99
2071,-7.5310000000000015,9.399,42.918,30.596,4.609,57.718
2072,-2.186,11.968,49.472,20.545,4.977,61.47
2073,-8.115,13.095999999999998,55.646,36.865,5.7989999999999995,56.726000000000006
2074,-1.565,13.672,52.01300000000001,39.169000000000004,5.414,57.305
2075,-4.4430000000000005,13.859000000000002,49.325,28.14,5.763999999999999,57.19600000000001
2076,-6.513,13.642999999999999,48.905,36.395,5.69,58.633
2077,5.14,14.397,49.126999999999995,18.322,6.077999999999999,58.038999999999994
2078,-2.356,12.744000000000002,50.896,34.334,5.9110000000000005,55.76600000000001
2079,-10.479000000000001,15.147,54.369,24.909000000000002,5.8820000000000014,58.448
2140,0.0,0.001,0.457,78.584,4.098,57.316
2141,0.0,0.002,0.48200000000000004,79.06,3.7769999999999997,72.109
2142,0.0,0.002,0.608,66.36,4.175,68.111
2143,0.0,0.002,0.679,53.54,4.51,67.415
2144,0.0,0.002,0.86,60.12300000000001,7.2010000000000005,77.486
2145,0.0,0.002,0.935,72.803,7.49,72.377
2146,0.0,0.002,0.9840000000000001,61.722,8.359,66.977
2147,0.0,0.003,1.426,66.15899999999999,9.836,66.969
