,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity,biofuel_electricity
990,0.433,0.001,0.534,0.188,2.296
991,0.607,0.001,0.626,0.222,1.859
992,-0.45299999999999996,0.008,0.77,0.213,1.655
993,0.061,0.025,0.718,0.213,1.8319999999999999
994,-0.276,0.067,0.657,0.301,2.126
995,-0.81,0.141,0.693,0.23399999999999999,2.161
996,-0.649,0.244,0.684,0.259,2.0709999999999997
997,-2.086,0.349,0.758,0.22,2.154
998,-0.139,0.62,0.607,0.222,2.292
999,2.67,1.371,0.754,0.242,2.359
1020,112.156,0.006999999999999999,1.6840000000000002,73.717,1.347
1021,23.367,0.012,2.241,72.96,1.82
1022,103.14699999999999,0.013999999999999999,2.687,67.735,1.84
1023,101.882,0.017,3.59,79.994,1.8630000000000002
1024,164.343,0.019,4.49,89.60700000000001,1.893
1025,83.55999999999999,0.019,6.603,97.404,1.923
1026,106.27700000000002,0.019,8.69,112.411,1.949
1027,153.999,0.059000000000000004,11.796,122.40700000000001,1.976
1028,220.017,0.063,13.700999999999999,115.006,9.557
1029,286.07000000000005,0.075,17.804000000000006,106.18799999999999,11.947000000000001
1030,224.019,0.113,19.66,111.37799999999999,14.673
1031,-45.596999999999994,0.8270000000000001,24.53,131.63299999999998,17.631
1032,-9.65700000000001,2.29,30.12,115.655,20.533
1033,-55.047,4.14,33.17,131.616,23.349
1034,132.889,5.85,37.34,130.328,25.545
1035,116.81599999999999,6.566,32.741,132.26,16.743
1036,7.102000000000004,11.556,43.453,128.611,15.655
1037,41.527,21.545,52.629,135.865,13.478
1038,213.31099999999998,36.330999999999996,60.31100000000001,141.33100000000005,16.148
1039,-48.951,46.273,63.308,161.741,14.68
1050,222.15699999999998,0.001,0.004,17.281,0.095
1051,465.168,0.001,0.005,12.295,0.21600000000000005
1052,159.863,0.003,0.005,12.671,0.268
1053,579.679,0.005,0.001,16.754,0.184
1054,-145.993,0.006999999999999999,0.001,15.01,0.96
1055,16.942,0.005,0.004,13.604000000000001,1.1340000000000001
1056,-22.223,0.021,0.006,18.49,1.7990000000000002
1057,-10.015,0.028999999999999998,0.006,18.445999999999998,0.8290000000000001
1058,645.6909999999998,0.091,0.19,21.42,13.513
1059,289.705,0.098,0.484,20.949,11.232000000000001
1091,0.0,0.001,4.38,0.7070000000000001,0.336
1092,0.0,0.001,4.01,0.802,0.44299999999999995
1093,0.0,0.001,4.542,0.599,0.486
1094,0.0,0.002,5.14,0.7090000000000001,0.541
1095,0.0,0.003,6.5729999999999995,0.8059999999999999,0.479
1096,0.0,0.006,6.147,0.6809999999999999,0.679
1097,0.0,0.011000000000000001,7.444,0.6920000000000001,0.733
1098,0.0,0.017,8.64,0.6940000000000001,0.8440000000000001
1099,0.0,0.017,9.463,0.8859999999999999,0.8440000000000001
1109,0.0,0.024,0.009000000000000001,0.024,0.042
1110,0.0,0.07,0.008,0.031,0.051
1111,0.0,0.192,0.006999999999999999,0.028999999999999998,0.053
1112,0.0,0.369,0.006,0.033,0.053
1113,0.0,0.494,0.006,0.027999999999999997,0.079
1114,0.0,0.84,0.006,0.013000000000000001,0.098
1115,0.0,1.115,0.006999999999999999,0.024,0.171
1120,-13.075,0.018000000000000002,0.563,44.199,1.3940000000000001
1121,-18.658,0.019,1.179,46.81,1.8319999999999999
1122,10.347,0.021,1.4040000000000001,39.519,2.7089999999999996
1123,-6.629999999999997,0.024,1.4580000000000002,36.67,3.373
1124,-10.035,0.028999999999999998,1.847,42.338,4.221
1125,-1.0819999999999999,0.031,2.343,36.067,4.6739999999999995
1126,-14.450000000000001,0.035,2.971,36.994,5.107
1127,-11.154,0.039,4.034,32.815,5.2570000000000014
1128,-12.227999999999998,0.193,4.8610000000000015,41.62300000000001,5.966
1129,-19.534,0.6759999999999999,6.5429999999999975,49.137,7.555
1130,9.940999999999999,1.906,9.126,51.117,9.439
1131,2.7439999999999998,10.796,9.856,45.823,10.831
1132,2.5229999999999997,18.862000000000002,13.407,41.875,12.485999999999999
1133,-7.063999999999999,21.589000000000002,14.897,52.773,17.083
1134,-2.5209999999999995,22.305999999999997,15.177999999999999,58.545,18.724
1135,-7.023999999999999,22.941999999999997,14.844000000000001,45.537,19.385
1136,-29.262,22.104,17.689,42.431999999999995,19.497
1137,2.146,24.378,17.742,36.199,19.367
1138,5.385,22.654,17.715999999999994,48.786,19.14
1139,-10.389,24.67,20.319000000000006,46.876999999999995,19.125
1156,0.0,0.013000000000000001,0.19,0.11800000000000001,0.024
1157,0.0,0.044000000000000004,0.289,0.152,0.025
1158,0.0,0.046,0.302,0.177,0.019
1159,0.0,0.05,0.302,0.193,0.015
1160,-4.998,0.34700000000000003,0.109,86.38,15.213
1161,0.449,0.475,0.252,83.324,15.297
1162,-11.73,0.669,0.415,81.554,16.54
1163,-0.20199999999999999,0.903,0.833,93.661,17.886
1164,0.004,1.189,1.31,93.12200000000001,18.183
1165,-1.4409999999999998,1.493,1.754,75.705,22.096
1166,1.578,1.794,2.21,86.649,22.315
1167,0.40700000000000003,2.015,2.6239999999999997,73.26899999999998,22.998
1168,-1.253,2.251,2.946,75.684,18.866
1169,0.33899999999999997,2.758,3.616,76.127,17.764
1170,-2.33,3.543,4.016,83.432,28.359
1171,2.272,4.8389999999999995,4.676,84.551,28.641
1172,0.317,6.6129999999999995,4.838,76.17699999999998,29.714000000000002
1173,-0.753,12.879000000000001,5.187,79.036,30.916
1174,0.6659999999999999,22.951999999999998,5.2170000000000005,83.162,31.747
1175,-0.8759999999999999,34.803000000000004,5.58,86.751,33.24
1176,1.087,45.761,6.166,79.138,34.148
1177,0.308,55.068999999999996,6.49,83.417,40.475
1178,-2.229,62.668,7.481,80.634,44.213
1179,-1.8090000000000002,74.52199999999998,8.533999999999999,79.82,41.29
1195,0.0,0.002,0.121,0.052000000000000005,0.004
1196,0.0,0.42100000000000004,0.391,0.042,0.004
1197,0.0,0.9079999999999999,0.44799999999999995,0.038,0.004
1198,0.0,1.4409999999999998,0.72,0.023,0.004
1199,0.0,1.5,1.2,0.013000000000000001,0.004
1213,47.684000000000005,0.001,0.005,7.654,0.001
1214,-39.774,0.09699999999999999,0.013000000000000001,8.18,0.001
1215,-39.488,0.11800000000000001,0.132,9.176,0.003
1216,-30.657000000000004,0.136,0.275,11.505,0.004
1217,148.38299999999998,0.16,0.34,11.097999999999999,0.002
1218,84.95299999999999,0.384,0.461,10.290999999999999,0.001
1219,-16.884999999999998,0.23600000000000002,0.5489999999999999,9.843,0.001
1227,0.0,0.01,0.001,3.4530000000000003,0.316
1228,0.0,0.01,0.001,2.821,0.126
1229,0.0,0.01,0.016,2.148,0.221
1230,0.0,0.019,0.018000000000000002,3.3930000000000002,0.209
1231,0.0,0.023,0.015,3.4160000000000004,0.222
1232,0.0,0.027999999999999997,0.015,4.256,0.193
1233,0.0,0.031,0.018000000000000002,3.906,0.179
1234,0.0,0.034,0.04,3.2769999999999997,0.136
1235,0.0,0.037000000000000005,0.06,3.7489999999999997,0.122
1236,0.0,0.04,0.055999999999999994,3.3080000000000003,0.12300000000000001
1237,0.0,0.057999999999999996,0.061,3.174,0.126
1238,0.0,0.075,0.376,3.946,0.127
1239,0.0,0.092,1.5630000000000002,3.173,0.129
1298,0.0,0.001,0.122,2.432,0.9440000000000001
1299,0.0,0.001,0.14800000000000002,2.108,0.877
1352,0.0,0.002,0.54,0.423,0.218
1353,0.0,0.045,0.603,0.521,0.35700000000000004
1354,0.0,0.073,0.639,0.39899999999999997,0.4
1355,0.0,0.073,0.81,0.349,0.447
1356,0.0,0.066,1.136,0.45399999999999996,0.439
1357,0.0,0.068,1.364,0.602,0.504
1358,0.0,0.087,1.1440000000000001,0.431,0.5429999999999999
1359,0.0,0.09,1.4280000000000002,0.353,0.568
1363,0.0,0.001,0.026000000000000002,0.079,0.034
1364,0.0,0.009000000000000001,0.039,0.10400000000000001,0.043
1365,0.0,0.018000000000000002,0.052000000000000005,0.09300000000000001,0.046
1366,0.0,0.021,0.057999999999999996,0.111,0.055
1367,0.0,0.021,0.064,0.11699999999999999,0.063
1368,0.0,0.02,0.061,0.132,0.07
1369,0.0,0.02,0.063,0.106,0.078
1370,0.0,0.021,0.055,0.10800000000000001,0.084
1371,0.0,0.026000000000000002,0.064,0.063,0.09300000000000001
1372,0.0,0.038,0.077,0.098,0.094
1373,0.0,0.07400000000000001,0.083,0.11900000000000001,0.094
1374,0.0,0.095,0.08,0.10800000000000001,0.115
1375,0.0,0.10400000000000001,0.102,0.099,0.126
1376,0.0,0.1,0.10099999999999999,0.115,0.14
1377,0.0,0.10800000000000001,0.235,0.086,0.171
1378,0.0,0.12,0.255,0.09300000000000001,0.217
1379,0.0,0.12,0.255,0.09300000000000001,0.217
1432,0.0,0.001,0.004,0.073,0.5
1433,0.0,0.003,0.004,0.094,0.493
1434,0.0,0.025,0.003,0.09,0.47700000000000004
1435,0.0,0.026000000000000002,0.003,0.121,0.53
1436,0.0,0.03,0.018000000000000002,0.099,0.516
1437,0.0,0.039,0.015,0.08900000000000001,0.48
1438,0.0,0.049,0.015,0.124,0.46
1439,0.0,0.06,0.015,0.125,0.4370000000000001
1440,53.861000000000004,0.006999999999999999,0.019,32.802,1.672
1441,47.440000000000005,0.008,0.018000000000000002,28.217,2.509
1442,19.586000000000002,0.008,0.021,24.701,2.477
