,renewables_electricity,gdp
1029,136.014,4560000000000.0
1030,145.82399999999996,5110000000000.0
1031,174.62099999999995,5680000000000.0
1032,168.59799999999996,6000000000000.0
1033,192.275,6170000000000.0
1034,199.063,6570000000000.0
1035,188.58700000000002,7070000000000.0
1036,199.483,7560000000000.0
1037,223.857,
1038,254.535,
1039,286.385,
1040,14.790999999999999,734000000000.0
1041,17.578,752000000000.0
1042,16.083,766000000000.0
1043,15.317,771000000000.0
1044,16.252,840000000000.0
1045,17.244,921000000000.0
1046,16.217,1010000000000.0
1047,18.23,1120000000000.0
1048,19.769000000000002,1360000000000.0
1049,20.628,1510000000000.0
1050,26.738000000000003,1770000000000.0
1051,21.888,2150000000000.0
1052,22.366999999999997,2250000000000.0
1053,26.354,2330000000000.0
1054,26.018,2430000000000.0
1055,24.796999999999997,2550000000000.0
1056,30.971999999999998,2680000000000.0
1057,32.074,
1058,49.13399999999999,
1059,47.663000000000004,
1060,0.605,76975620096.0
1061,0.612,91946008576.0
1062,0.512,99146276864.0
1063,0.429,77066510336.0
1064,0.488,118000000000.0
