,fossil_prod_change_twh,solar_electricity
1021,23.367,0.012
1022,103.14699999999999,0.013999999999999999
1023,101.882,0.017
1024,164.343,0.019
1025,83.55999999999999,0.019
1026,106.27700000000002,0.019
1027,153.999,0.059000000000000004
1028,220.017,0.063
1029,286.07000000000005,0.075
1030,224.019,0.113
1031,-45.596999999999994,0.8270000000000001
1032,-9.65700000000001,2.29
1033,-55.047,4.14
1034,132.889,5.85
1035,116.81599999999999,6.566
1036,7.102000000000004,11.556
1037,41.527,21.545
1038,213.31099999999998,36.330999999999996
1039,-48.951,46.273
1050,222.15699999999998,0.001
1051,465.168,0.001
1052,159.863,0.003
1053,579.679,0.005
1054,-145.993,0.006999999999999999
1055,16.942,0.005
1056,-22.223,0.021
1057,-10.015,0.028999999999999998
1058,645.6909999999998,0.091
1059,289.705,0.098
1073,15.619,0.046
1074,83.29599999999999,0.057
1075,425.054,0.057
1076,281.291,0.057
1077,57.653999999999996,0.057
1078,58.32200000000001,0.057
1079,85.76900000000002,0.057
1091,0.0,0.001
1092,0.0,0.001
1093,0.0,0.001
1094,0.0,0.002
1095,0.0,0.003
1096,0.0,0.006
1097,0.0,0.011000000000000001
1098,0.0,0.017
1099,0.0,0.017
1109,0.0,0.024
1110,0.0,0.07
1111,0.0,0.192
1112,0.0,0.369
1113,0.0,0.494
1114,0.0,0.84
1115,0.0,1.115
1116,0.0,1.544
1117,0.0,1.511
1118,0.0,1.574
1119,0.0,2.597
1120,-13.075,0.018000000000000002
1121,-18.658,0.019
1122,10.347,0.021
1123,-6.629999999999997,0.024
1124,-10.035,0.028999999999999998
1125,-1.0819999999999999,0.031
1126,-14.450000000000001,0.035
1127,-11.154,0.039
1128,-12.227999999999998,0.193
1129,-19.534,0.6759999999999999
1130,9.940999999999999,1.906
1131,2.7439999999999998,10.796
1132,2.5229999999999997,18.862000000000002
1133,-7.063999999999999,21.589000000000002
1134,-2.5209999999999995,22.305999999999997
1135,-7.023999999999999,22.941999999999997
1136,-29.262,22.104
1137,2.146,24.378
1138,5.385,22.654
1139,-10.389,24.67
1156,0.0,0.013000000000000001
1157,0.0,0.044000000000000004
1158,0.0,0.046
1159,0.0,0.05
1160,-4.998,0.34700000000000003
1161,0.449,0.475
1162,-11.73,0.669
1163,-0.20199999999999999,0.903
1164,0.004,1.189
1165,-1.4409999999999998,1.493
1166,1.578,1.794
1167,0.40700000000000003,2.015
1168,-1.253,2.251
1169,0.33899999999999997,2.758
1170,-2.33,3.543
1171,2.272,4.8389999999999995
1172,0.317,6.6129999999999995
1173,-0.753,12.879000000000001
1174,0.6659999999999999,22.951999999999998
1175,-0.8759999999999999,34.803000000000004
1176,1.087,45.761
1177,0.308,55.068999999999996
1178,-2.229,62.668
1179,-1.8090000000000002,74.52199999999998
1195,0.0,0.002
1196,0.0,0.42100000000000004
1197,0.0,0.9079999999999999
1198,0.0,1.4409999999999998
1199,0.0,1.5
1213,47.684000000000005,0.001
1214,-39.774,0.09699999999999999
1215,-39.488,0.11800000000000001
1216,-30.657000000000004,0.136
1217,148.38299999999998,0.16
1218,84.95299999999999,0.384
1219,-16.884999999999998,0.23600000000000002
1227,0.0,0.01
1228,0.0,0.01
1229,0.0,0.01
1230,0.0,0.019
1231,0.0,0.023
1232,0.0,0.027999999999999997
1233,0.0,0.031
1234,0.0,0.034
1235,0.0,0.037000000000000005
1236,0.0,0.04
1237,0.0,0.057999999999999996
1238,0.0,0.075
1239,0.0,0.092
1254,-26.177999999999997,0.003
1255,-5.104999999999993,0.005
1256,55.732,0.049
1257,-91.965,0.049
1258,27.828999999999994,0.066
1259,-17.246,0.14
1298,0.0,0.001
1299,0.0,0.001
1310,0.0,0.001
1311,0.0,0.001
1312,0.0,0.001
1313,0.0,0.003
1314,0.0,0.006999999999999999
1315,0.0,0.015
1316,0.0,0.027999999999999997
1317,0.0,0.040999999999999995
1318,0.0,0.068
1319,0.0,0.08
1330,42.192,0.006
1331,-784.689,0.006
1332,601.308,0.006999999999999999
1333,-263.838,0.008
1334,-293.255,0.008
1335,-53.68899999999999,0.008
1336,-29.259999999999998,0.008
1337,276.04999999999995,0.008
1338,126.244,0.008
1339,44.661,0.008
1352,0.0,0.002
1353,0.0,0.045
1354,0.0,0.073
1355,0.0,0.073
1356,0.0,0.066
1357,0.0,0.068
1358,0.0,0.087
1359,0.0,0.09
1363,0.0,0.001
1364,0.0,0.009000000000000001
1365,0.0,0.018000000000000002
1366,0.0,0.021
1367,0.0,0.021
1368,0.0,0.02
1369,0.0,0.02
1370,0.0,0.021
1371,0.0,0.026000000000000002
1372,0.0,0.038
1373,0.0,0.07400000000000001
1374,0.0,0.095
1375,0.0,0.10400000000000001
1376,0.0,0.1
1377,0.0,0.10800000000000001
1378,0.0,0.12
1379,0.0,0.12
1387,15.075000000000001,0.008
1388,18.712,0.01
1389,-51.135000000000005,0.01
1390,3.9030000000000022,0.01
1391,-20.854000000000003,0.015
1392,27.698999999999998,0.047
1393,17.646,0.14
1394,8.419,0.23
1395,74.493,0.27
1396,11.434000000000001,0.31
1397,12.495000000000001,0.33
1398,-17.842,0.573
1399,-13.817,0.8
1410,0.0,0.001
1411,0.0,0.005
1412,0.0,0.017
1413,0.0,0.028999999999999998
1414,0.0,0.068
1415,0.0,0.095
1416,0.0,0.128
1417,0.0,0.162
1418,0.0,0.19
1419,0.0,0.19
1432,0.0,0.001
1433,0.0,0.003
1434,0.0,0.025
1435,0.0,0.026000000000000002
1436,0.0,0.03
1437,0.0,0.039
1438,0.0,0.049
1439,0.0,0.06
1440,53.861000000000004,0.006999999999999999
1441,47.440000000000005,0.008
1442,19.586000000000002,0.008
1443,143.534,0.008
1444,60.278000000000006,0.009000000000000001
1445,33.88099999999998,0.009000000000000001
1446,3.6889999999999983,0.01
1447,-129.46800000000002,0.009000000000000001
1448,-178.77600000000004,0.009000000000000001
1449,-75.04400000000001,0.012
1450,-12.008000000000001,0.031
1451,20.480999999999998,0.040999999999999995
1452,-42.798,0.069
1453,-10.013999999999998,0.106
1454,-65.941,0.221
1455,-149.25,0.239
1456,-123.844,0.46399999999999997
1457,-176.73600000000002,1.074
1458,-122.116,1.8359999999999999
1459,-101.81,6.591
1470,56.725,0.008
1471,41.445,0.008
1472,-9.816,0.008
1473,11.65,0.009000000000000001
1474,-47.049,0.009000000000000001
1475,-1.604,0.009000000000000001
1476,57.94600000000001,0.009000000000000001
1477,76.11399999999998,0.025
1478,26.945,0.033
1479,13.527999999999999,0.04
1515,0.0,0.005
1516,0.0,0.401
1517,0.0,0.415
1518,0.0,0.95
1519,0.0,1.581
1534,9.914000000000001,0.001
1535,-0.248,0.002
1536,-3.402,0.002
1537,0.0,0.002
1538,0.0,0.002
1539,0.0,0.002
1570,0.0,0.006999999999999999
1571,0.0,0.008
1572,0.0,0.013999999999999999
1573,0.0,0.022000000000000002
1574,0.0,0.028999999999999998
1575,0.0,0.039
1576,0.0,0.057
1577,0.0,0.026000000000000002
1578,0.0,0.026000000000000002
1579,0.0,0.026000000000000002
1587,0.021,0.009000000000000001
1588,-0.012,0.011000000000000001
1589,0.005,0.012
1590,-0.015,0.006
1591,0.006999999999999999,0.011000000000000001
1592,-0.018000000000000002,0.013000000000000001
1593,0.022000000000000002,0.015
1594,0.004,0.017
1595,0.019,0.019
1596,0.009000000000000001,0.019
1597,0.0,0.078
1598,0.0,0.078
1599,0.0,0.08
1600,-15.722000000000001,0.008
