,fossil_prod_change_twh,solar_electricity,wind_electricity,hydro_electricity
1098,0.0,0.017,8.64,0.6940000000000001
1099,0.0,0.017,9.463,0.8859999999999999
1109,0.0,0.024,0.009000000000000001,0.024
1110,0.0,0.07,0.008,0.031
1111,0.0,0.192,0.006999999999999999,0.028999999999999998
1112,0.0,0.369,0.006,0.033
1113,0.0,0.494,0.006,0.027999999999999997
1114,0.0,0.84,0.006,0.013000000000000001
1115,0.0,1.115,0.006999999999999999,0.024
1120,-13.075,0.018000000000000002,0.563,44.199
1121,-18.658,0.019,1.179,46.81
1122,10.347,0.021,1.4040000000000001,39.519
1123,-6.629999999999997,0.024,1.4580000000000002,36.67
1124,-10.035,0.028999999999999998,1.847,42.338
1125,-1.0819999999999999,0.031,2.343,36.067
1126,-14.450000000000001,0.035,2.971,36.994
1127,-11.154,0.039,4.034,32.815
1128,-12.227999999999998,0.193,4.8610000000000015,41.62300000000001
1129,-19.534,0.6759999999999999,6.5429999999999975,49.137
1130,9.940999999999999,1.906,9.126,51.117
1131,2.7439999999999998,10.796,9.856,45.823
1132,2.5229999999999997,18.862000000000002,13.407,41.875
1133,-7.063999999999999,21.589000000000002,14.897,52.773
1134,-2.5209999999999995,22.305999999999997,15.177999999999999,58.545
1135,-7.023999999999999,22.941999999999997,14.844000000000001,45.537
1136,-29.262,22.104,17.689,42.431999999999995
1137,2.146,24.378,17.742,36.199
1138,5.385,22.654,17.715999999999994,48.786
1139,-10.389,24.67,20.319000000000006,46.876999999999995
1156,0.0,0.013000000000000001,0.19,0.11800000000000001
1157,0.0,0.044000000000000004,0.289,0.152
1158,0.0,0.046,0.302,0.177
1159,0.0,0.05,0.302,0.193
1160,-4.998,0.34700000000000003,0.109,86.38
1161,0.449,0.475,0.252,83.324
1162,-11.73,0.669,0.415,81.554
1163,-0.20199999999999999,0.903,0.833,93.661
1164,0.004,1.189,1.31,93.12200000000001
1165,-1.4409999999999998,1.493,1.754,75.705
1166,1.578,1.794,2.21,86.649
1167,0.40700000000000003,2.015,2.6239999999999997,73.26899999999998
1168,-1.253,2.251,2.946,75.684
1169,0.33899999999999997,2.758,3.616,76.127
1170,-2.33,3.543,4.016,83.432
1171,2.272,4.8389999999999995,4.676,84.551
1172,0.317,6.6129999999999995,4.838,76.17699999999998
1173,-0.753,12.879000000000001,5.187,79.036
1174,0.6659999999999999,22.951999999999998,5.2170000000000005,83.162
1175,-0.8759999999999999,34.803000000000004,5.58,86.751
1176,1.087,45.761,6.166,79.138
1177,0.308,55.068999999999996,6.49,83.417
1178,-2.229,62.668,7.481,80.634
1179,-1.8090000000000002,74.52199999999998,8.533999999999999,79.82
1195,0.0,0.002,0.121,0.052000000000000005
1196,0.0,0.42100000000000004,0.391,0.042
1197,0.0,0.9079999999999999,0.44799999999999995,0.038
1198,0.0,1.4409999999999998,0.72,0.023
1199,0.0,1.5,1.2,0.013000000000000001
1213,47.684000000000005,0.001,0.005,7.654
1214,-39.774,0.09699999999999999,0.013000000000000001,8.18
1215,-39.488,0.11800000000000001,0.132,9.176
1216,-30.657000000000004,0.136,0.275,11.505
1217,148.38299999999998,0.16,0.34,11.097999999999999
1218,84.95299999999999,0.384,0.461,10.290999999999999
1219,-16.884999999999998,0.23600000000000002,0.5489999999999999,9.843
1227,0.0,0.01,0.001,3.4530000000000003
1228,0.0,0.01,0.001,2.821
1229,0.0,0.01,0.016,2.148
1230,0.0,0.019,0.018000000000000002,3.3930000000000002
1231,0.0,0.023,0.015,3.4160000000000004
1232,0.0,0.027999999999999997,0.015,4.256
1233,0.0,0.031,0.018000000000000002,3.906
1234,0.0,0.034,0.04,3.2769999999999997
1235,0.0,0.037000000000000005,0.06,3.7489999999999997
1236,0.0,0.04,0.055999999999999994,3.3080000000000003
1237,0.0,0.057999999999999996,0.061,3.174
1238,0.0,0.075,0.376,3.946
1239,0.0,0.092,1.5630000000000002,3.173
1298,0.0,0.001,0.122,2.432
1299,0.0,0.001,0.14800000000000002,2.108
