,fossil_prod_change_twh,solar_electricity,wind_electricity
774,0.0,0.008,1.107
775,0.0,0.011000000000000001,2.327
776,0.0,0.022000000000000002,3.068
777,0.0,0.049,4.795
778,0.0,0.09,5.8389999999999995
779,0.0,0.09,6.1270000000000024
780,0.0,0.005,0.048
781,0.0,0.006,0.131
782,0.0,0.006999999999999999,0.266
783,0.0,0.008,0.38799999999999996
784,0.0,0.008,0.595
785,0.0,0.011000000000000001,0.963
786,0.0,0.012,2.1830000000000003
787,0.0,0.018000000000000002,4.07
788,0.0,0.042,5.694
789,0.0,0.174,7.912000000000001
790,0.0,0.62,9.945
791,0.0,2.334,12.372
792,0.0,4.428,15.177999999999999
793,0.0,5.194,16.127
794,0.0,6.391,17.324
795,0.0,7.752999999999999,21.421
796,0.0,8.658999999999999,21.381
797,0.0,9.585,24.609
798,0.0,10.569,28.599
799,0.0,12.569,33.599000000000004
840,-39.988,0.04,9.5
841,-26.880000000000003,0.1,10.5
842,1.4680000000000002,0.2,15.8
843,0.02799999999999958,0.3,19.2
844,-6.677,0.6,26.1
845,-27.322000000000003,1.3,27.9
846,-39.482,2.2,31.4
847,-1.343,3.1,40.5
848,-63.567,4.4,41.4
849,-51.702,6.6,39.538000000000004
850,-22.23,11.7,38.6
851,3.102999999999999,19.6,49.9
852,2.071999999999999,26.4,51.6
853,-39.411,31.0,52.7
854,-16.694,36.1,58.5
855,-20.95,38.7,80.6
856,-42.95099999999999,38.1,80.0
857,-7.997,39.4,105.7
858,-27.381,45.8,110.0
859,-90.06200000000001,46.4,125.9
884,4.312,0.001,1.121
885,-0.102,0.001,1.266
886,-4.276,0.001,1.699
887,2.545,0.001,1.818
888,-3.0189999999999997,0.005,2.242
889,0.54,0.05,2.543
890,-10.008,0.158,2.714
891,2.204,0.61,3.315
892,6.278,1.694,3.85
893,-15.31,3.648,4.138999999999999
894,-4.002,3.792,3.6889999999999996
895,-8.245,3.9,4.621
896,-19.802,3.93,5.146
897,6.916,3.991,5.537000000000001
898,-3.4010000000000002,3.7910000000000004,6.3
899,-12.457,3.9760000000000004,7.24
915,0.0,0.15,0.107
916,0.0,0.193,0.215
917,0.0,0.19899999999999998,0.218
918,0.0,0.205,0.32
919,0.0,0.22899999999999998,0.331
975,0.0,0.41700000000000004,0.665
976,0.0,0.8809999999999999,0.574
977,0.0,0.924,0.578
978,0.0,0.993,0.929
979,0.0,1.114,0.815
988,-0.922,0.001,0.205
989,-1.599,0.001,0.331
990,0.433,0.001,0.534
991,0.607,0.001,0.626
992,-0.45299999999999996,0.008,0.77
993,0.061,0.025,0.718
994,-0.276,0.067,0.657
995,-0.81,0.141,0.693
996,-0.649,0.244,0.684
997,-2.086,0.349,0.758
998,-0.139,0.62,0.607
999,2.67,1.371,0.754
1020,112.156,0.006999999999999999,1.6840000000000002
1021,23.367,0.012,2.241
1022,103.14699999999999,0.013999999999999999,2.687
1023,101.882,0.017,3.59
1024,164.343,0.019,4.49
1025,83.55999999999999,0.019,6.603
1026,106.27700000000002,0.019,8.69
1027,153.999,0.059000000000000004,11.796
1028,220.017,0.063,13.700999999999999
1029,286.07000000000005,0.075,17.804000000000006
1030,224.019,0.113,19.66
1031,-45.596999999999994,0.8270000000000001,24.53
1032,-9.65700000000001,2.29,30.12
1033,-55.047,4.14,33.17
1034,132.889,5.85,37.34
1035,116.81599999999999,6.566,32.741
1036,7.102000000000004,11.556,43.453
1037,41.527,21.545,52.629
1038,213.31099999999998,36.330999999999996,60.31100000000001
1039,-48.951,46.273,63.308
1050,222.15699999999998,0.001,0.004
1051,465.168,0.001,0.005
1052,159.863,0.003,0.005
1053,579.679,0.005,0.001
1054,-145.993,0.006999999999999999,0.001
1055,16.942,0.005,0.004
1056,-22.223,0.021,0.006
1057,-10.015,0.028999999999999998,0.006
