,fossil_production,gdp
433,4269.164,1480000000000.0
434,4513.544,1530000000000.0
435,4580.428,1540000000000.0
436,4731.283,1570000000000.0
437,4977.581,
438,5231.744,
439,5232.078999999999,
440,0.0,167000000000.0
441,0.0,167000000000.0
442,0.0,168000000000.0
443,0.0,177000000000.0
444,0.0,194000000000.0
445,0.0,215000000000.0
446,0.0,253000000000.0
447,0.0,271000000000.0
448,0.0,264000000000.0
449,0.0,269000000000.0
450,0.0,309000000000.0
451,0.0,340000000000.0
452,0.0,361000000000.0
453,0.0,367000000000.0
454,0.0,376000000000.0
455,0.0,385000000000.0
456,0.0,391000000000.0
457,0.0,
458,0.0,
459,0.0,
460,785.527,267000000000.0
461,781.1449999999999,269000000000.0
462,730.3149999999999,273000000000.0
463,789.811,282000000000.0
464,817.742,296000000000.0
465,865.114,318000000000.0
466,918.989,349000000000.0
467,955.8170000000001,384000000000.0
468,1034.763,419000000000.0
469,1092.883,428000000000.0
470,1183.011,467000000000.0
471,1350.6699999999998,524000000000.0
472,1405.429,543000000000.0
473,1432.85,559000000000.0
474,1436.6430000000003,581000000000.0
475,1414.501,599000000000.0
476,1386.557,610000000000.0
477,1368.563,
478,1331.1929999999998,
479,1331.96,
480,156.958,8014652928.0
481,145.653,7468848128.0
482,139.9,7848606208.0
483,127.796,7996828160.0
484,133.18200000000002,9966012416.0
485,145.921,13575520256.0
486,164.87099999999995,15415371776.0
487,133.343,12971907072.0
488,141.63,15151250432.0
489,163.632,14488657920.0
490,186.263,21601085440.0
491,177.863,25726625792.0
492,165.358,24299880448.0
493,143.09,23583543296.0
494,149.684,21263382528.0
495,138.564,21521129472.0
496,138.033,20912119808.0
497,160.236,
498,196.592,
499,201.7,
500,0.0,36935999488.0
501,0.0,37629501440.0
502,0.0,38275182592.0
503,0.0,39160352768.0
504,0.0,40976089088.0
505,0.0,42683604992.0
506,0.0,44507025408.0
507,0.0,47364378624.0
508,0.0,50109009920.0
509,0.0,52501508096.0
510,0.0,54214258688.0
511,0.0,56661012480.0
512,0.0,57546874880.0
513,0.0,57839300608.0
514,0.0,62450036736.0
515,0.0,65397760000.0
516,0.0,68237692928.0
517,0.0,
518,0.0,
519,0.0,
520,0.0,62891139072.0
521,0.0,63642439680.0
522,0.0,66150264832.0
523,0.0,68902117376.0
524,0.0,71095967744.0
525,0.0,73977069568.0
526,0.0,77424394240.0
527,0.0,85629665280.0
528,0.0,90480205824.0
529,0.0,87007707136.0
530,0.0,83865575424.0
531,0.0,87256449024.0
532,0.0,90095968256.0
533,0.0,88068751360.0
534,0.0,89170362368.0
535,0.0,90623172608.0
536,0.0,93290250240.0
537,0.0,
538,0.0,
539,0.0,
540,0.0,54419652608.0
541,0.0,56576917504.0
542,0.0,57540931584.0
543,0.0,58464440320.0
544,0.0,58214199296.0
545,0.0,59134464000.0
546,0.0,66728517632.0
547,0.0,68174094336.0
548,0.0,71330684928.0
549,0.0,72919760896.0
550,0.0,75421614080.0
551,0.0,78036992000.0
552,0.0,80388153344.0
553,0.0,83013746688.0
554,0.0,85723463680.0
555,0.0,88467243008.0
556,0.0,
557,0.0,
558,0.0,
559,0.0,
560,0.0,20776794112.0
561,0.0,21458608128.0
562,0.0,21256992768.0
563,0.0,19989295104.0
564,0.0,20515725312.0
565,0.0,21763364864.0
566,0.0,22869377024.0
567,0.0,23958491136.0
568,0.0,26921664512.0
569,0.0,28517449728.0
570,0.0,28750800896.0
571,0.0,27271999488.0
572,0.0,27581609984.0
573,0.0,26033086464.0
574,0.0,25381662720.0
575,0.0,25799387136.0
576,0.0,26539999232.0
577,0.0,
578,0.0,
579,0.0,
580,290.954,192000000000.0
581,284.292,192000000000.0
582,298.346,196000000000.0
583,291.991,192000000000.0
584,320.036,201000000000.0
585,324.131,206000000000.0
586,303.946,217000000000.0
587,272.279,222000000000.0
588,267.86800000000005,228000000000.0
589,237.385,224000000000.0
590,226.51,236000000000.0
591,195.60399999999998,243000000000.0
592,175.791,244000000000.0
593,150.554,249000000000.0
594,142.41,251000000000.0
595,137.222,255000000000.0
596,127.40100000000001,259000000000.0
597,128.724,
598,108.494,
599,90.282,
600,0.0,63797911552.0
601,0.0,70083977216.0
602,0.0,71063699456.0
603,0.0,67760832512.0
604,0.0,70368313344.0
605,0.0,78938693632.0
606,0.0,87716773888.0
607,0.0,95965347840.0
608,0.0,97710768128.0
609,0.0,104000000000.0
610,0.0,113000000000.0
611,0.0,116000000000.0
612,0.0,120000000000.0
613,0.0,124000000000.0
614,0.0,131000000000.0
615,0.0,140000000000.0
616,0.0,149000000000.0
617,0.0,
618,0.0,
619,0.0,
620,250.713,62578487296.0
621,254.38400000000001,67085246464.0
622,244.68400000000003,74319634432.0
623,260.86400000000003,78718550016.0
624,328.974,88135221248.0
625,331.81,101000000000.0
626,334.1,108000000000.0
627,318.796,114000000000.0
628,315.694,126000000000.0
629,303.223,124000000000.0
630,303.237,135000000000.0
631,311.286,150000000000.0
632,314.639,157000000000.0
633,327.93,168000000000.0
634,346.36,173000000000.0
635,337.9840000000001,173000000000.0
636,342.215,169000000000.0
637,330.651,
638,321.893,
639,330.458,
640,653.996,355000000000.0
641,679.129,377000000000.0
642,695.1679999999999,388000000000.0
643,720.1659999999999,401000000000.0
644,722.164,420000000000.0
645,794.1720000000003,449000000000.0
646,911.5320000000002,483000000000.0
647,928.5889999999997,552000000000.0
648,969.963,653000000000.0
649,1012.7999999999998,685000000000.0
650,996.9430000000001,800000000000.0
651,993.1659999999999,919000000000.0
652,989.191,943000000000.0
653,938.619,974000000000.0
654,877.6279999999999,1030000000000.0
655,837.3009999999999,1070000000000.0
656,795.38,1110000000000.0
657,861.7500000000001,
658,982.6000000000001,
659,1038.946,
660,0.0,29694599168.0
661,0.0,30590916608.0
662,0.0,32130488320.0
663,0.0,33779519488.0
664,0.0,34909671424.0
665,0.0,37999280128.0
666,0.0,40238567424.0
667,0.0,43100311552.0
668,0.0,43939897344.0
669,0.0,42017976320.0
670,0.0,43937521664.0
671,0.0,46189703168.0
672,0.0,47400161280.0
673,0.0,47650201600.0
674,0.0,48934486016.0
675,0.0,50128982016.0
676,0.0,51318595584.0
677,0.0,
