Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hungary,  36.5,  35.6,  36.4,  35.2,  34.3,  35.7,  35.6,  39.1,  38.5,  38.0,  37.7,  38.8,  37.3,  37.7,  36.5,  35.6,  35.7,  33.9,  31.9,  25.3,  23.8,  19.6,  18.7,  18.1,  17.8,  17.6,  16.7,  16.4,  16.6,  15.7,  15.1,  14.8,  15.3,  14.6,  12.7,  12.3,  12.3,  12.0,  10.3,  10.7,  10.9,  10.5,  9.2,  9.1,  9.4,  8.8,  9.0,  8.2,  7.1,  6.3
Iceland,  0.0,  0.0,  0.0,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.2,  0.3,  0.3,  0.3,  0.2,  0.2,  0.3,  0.3,  0.3,  0.2,  0.2,  0.3,  0.2,  0.3,  0.2,  0.3,  0.2,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,  0.4,-,-,-,-,-
Ireland,  9.3,  8.7,  7.2,  8.4,  7.6,  8.0,  8.4,  7.2,  8.9,  8.5,  9.1,  9.6,  10.3,  9.9,  11.2,  12.1,  15.3,  15.4,  15.7,  15.2,  14.6,  14.1,  13.6,  12.8,  12.8,  12.8,  12.0,  12.0,  10.3,  10.9,  11.4,  11.2,  10.8,  10.1,  11.2,  10.0,  9.8,  9.6,  8.5,  8.4,  8.3,  9.6,  8.7,  8.6,  9.4,  9.0,  7.8,  6.4,  4.4,  3.6
Italy,  33.0,  31.1,  30.7,  35.6,  31.5,  35.2,  35.3,  34.5,  39.8,  44.7,  49.1,  52.8,  47.7,  56.9,  60.1,  55.2,  56.4,  53.1,  52.8,  56.8,  53.6,  45.1,  39.7,  42.5,  45.7,  41.8,  42.0,  42.8,  42.0,  44.1,  49.4,  50.9,  55.9,  63.7,  64.1,  62.1,  62.2,  60.0,  47.7,  52.7,  59.4,  61.4,  53.4,  51.4,  48.1,  42.8,  37.2,  34.5,  25.8,  19.0
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  2.9,  2.6,  2.2,  2.1,  1.6,  1.1,  1.1,  1.0,  0.7,  0.5,  0.6,  0.5,  0.4,  0.3,  0.3,  0.3,  0.4,  0.4,  0.4,  0.3,  0.4,  0.5,  0.4,  0.3,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.1
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  3.3,  3.7,  1.7,  1.5,  1.2,  1.0,  0.9,  0.8,  0.7,  0.6,  0.4,  0.3,  0.6,  0.7,  0.7,  0.8,  1.0,  1.0,  0.9,  0.7,  0.9,  1.0,  1.0,  1.1,  0.9,  0.7,  0.8,  0.8,  0.9,  0.8,  0.6
Luxembourg,  12.3,  11.5,  12.1,  11.1,  8.1,  8.6,  7.9,  9.0,  8.4,  8.4,  6.9,  6.3,  5.9,  6.7,  6.7,  6.1,  5.0,  5.3,  5.5,  5.2,  4.9,  4.3,  4.6,  3.8,  2.1,  1.9,  1.2,  0.4,  0.4,  0.4,  0.5,  0.3,  0.2,  0.3,  0.3,  0.4,  0.3,  0.3,  0.3,  0.3,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2
Netherlands,  15.4,  14.4,  16.1,  15.1,  12.4,  10.9,  11.1,  12.3,  12.7,  14.5,  17.1,  19.3,  20.3,  24.2,  24.1,  25.0,  26.6,  32.2,  31.8,  30.0,  27.3,  27.3,  28.4,  30.6,  33.9,  32.5,  31.9,  32.7,  28.6,  29.8,  31.9,  32.1,  33.2,  32.7,  31.2,  29.8,  32.4,  30.5,  28.6,  29.1,  28.5,  31.6,  31.8,  35.3,  43.2,  40.1,  36.2,  32.5,  25.2,  16.2
Norway,  3.9,  4.1,  3.9,  4.3,  4.0,  4.0,  3.5,  3.5,  4.4,  4.0,  4.0,  3.8,  4.1,  4.6,  4.6,  4.0,  3.9,  4.1,  3.6,  3.5,  3.2,  3.2,  3.2,  3.6,  3.9,  3.9,  3.9,  4.0,  3.9,  4.0,  3.5,  3.0,  3.0,  3.4,  2.9,  2.5,  2.8,  2.9,  2.1,  2.6,  2.8,  2.9,  3.0,  3.0,  2.9,  3.0,  3.1,  3.0,  3.0,  3.1
Poland,  258.7,  266.9,  277.5,  288.3,  297.4,  317.1,  324.9,  347.4,  352.4,  362.7,  336.2,  345.2,  345.5,  359.5,  371.8,  375.6,  391.4,  378.9,  359.6,  295.0,  298.1,  289.3,  288.8,  279.1,  277.9,  289.0,  273.3,  248.0,  236.4,  224.1,  222.5,  216.6,  222.6,  221.5,  218.8,  228.5,  223.4,  217.5,  206.8,  218.5,  214.3,  210.3,  210.1,  198.0,  196.7,  197.3,  199.0,  193.6,  173.0,  156.3
